tmp_doi,bso_classification_classe,source
10.1093/imanum/drv066,8,mesri
10.1166/jolpe.2016.1421,4,mesri
10.1177/0957155815616588,5,mesri
10.3389/feduc.2021.642147,9,mesri
10.1051/0004-6361/201527660,8,mesri
10.26698/ao4elt5.0157,2,mesri
10.1166/jolpe.2017.1476,4,mesri
10.4324/9781315181387,5,mesri
10.1051/ro/2021038,2,mesri
10.1201/9780203741467,5,mesri
10.1016/j.phclin.2021.03.009,7,mesri
10.1127/entomologia/2019/0823,0,mesri
10.1038/s41550-020-1065-8,3,mesri
10.1016/j.sigpro.2020.107575,2,mesri
10.1063/5.0011479,8,mesri
10.2174/1381612826666200721002354,0,mesri
10.3847/2041-8213/abb248,8,mesri
10.1016/j.difgeo.2020.101659,8,mesri
10.3847/1538-4357/abaeee,3,mesri
10.1127/entomologia/2020/1009,0,mesri
10.1051/0004-6361/202038793,8,mesri
10.1127/entomologia/2020/0994,0,mesri
10.1127/entomologia/2020/1096,0,mesri
10.1127/entomologia/2020/1059,0,mesri
10.1127/entomologia/2020/1131,0,mesri
10.3847/1538-4357/ac4267,8,mesri
10.1515/ipp-2020-4061,1,mesri
10.3917/rfsp.673.0555,9,mesri
10.1002/9781119507284.ch10,2,mesri
10.1088/1751-8121/ab83c7,8,mesri
10.1093/oso/9780198870715.003.0005,5,mesri
10.1117/12.2602859,3,mesri
10.1016/j.ifacol.2020.12.1130,2,mesri
10.15698/mic2016.12.549,0,mesri
10.3389/fmolb.2016.00082,0,mesri
10.1073/pnas.2008793117,0,mesri
10.1038/ncomms10580,0,mesri
10.2340/00015555-3152,7,mesri
10.1038/srep24067,0,mesri
10.3389/fmats.2020.00161,8,mesri
10.1016/j.celrep.2016.04.052,0,mesri
10.1016/j.neurol.2021.07.014,7,mesri
10.1016/j.neurol.2021.07.012,7,mesri
10.1007/s00264-021-05155-6,7,mesri
10.1007/978-3-030-62026-4_2,0,mesri
10.1093/pasj/psv133,8,mesri
10.1007/s40279-021-01491-0,7,mesri
10.3114/fuse.2018.01.07,0,mesri
10.3389/fphys.2021.630390,0,mesri
10.1684/orthodfr.2021.48,7,mesri
10.1007/s00262-021-02983-8,7,mesri
10.3389/fneur.2021.715386,7,mesri
10.1016/j.concog.2021.103208,9,mesri
10.1016/j.neurol.2021.03.008,7,mesri
10.1016/j.anorl.2021.09.002,7,mesri
10.1016/j.neunet.2021.09.020,2,mesri
10.1016/j.encep.2021.06.010,7,mesri
10.1016/j.ijantimicag.2021.106447,0,mesri
10.1684/pnv.2021.0995,7,mesri
10.1016/j.jfo.2021.03.015,7,mesri
10.1684/pnv.2021.0978,7,mesri
10.21037/tlcr-21-634,7,mesri
10.5114/jcb.2021.109754,7,mesri
10.21037/tlcr-21-958,7,mesri
10.1136/bmjopen-2020-044667,7,mesri
10.1038/s41588-021-00920-0,7,mesri
10.20960/nh.03456,7,mesri
10.1159/000516264,7,mesri
10.1038/s41567-021-01344-7,8,mesri
10.1038/s41434-021-00293-3,7,mesri
10.1038/s41561-021-00727-y,3,mesri
10.1038/s41598-021-02760-8,0,mesri
10.1038/s41598-021-95568-5,0,mesri
10.1038/s42003-021-02480-9,0,mesri
10.1038/s41598-021-95067-7,0,mesri
10.1038/s41467-021-27442-x,0,mesri
10.1038/s41550-021-01371-7,3,mesri
10.1038/s41422-021-00573-y,0,mesri
10.1038/s41550-017-0179,8,mesri
10.1038/s41434-021-00284-4,7,mesri
10.1038/s41389-021-00352-9,7,mesri
10.1038/s41598-021-94743-y,0,mesri
10.1002/chem.202102035,1,mesri
10.1053/j.gastro.2021.08.030,7,mesri
10.1057/s41267-019-00296-8,9,mesri
10.2140/agt.2021.21.1595,6,mesri
10.3847/1538-4357/ac00ae,3,mesri
10.3847/1538-4357/ac1f2d,8,mesri
10.3847/2041-8213/ac2600,3,mesri
10.3847/1538-4357/ab75ef,3,mesri
10.3847/1538-3881/ac2cbc,3,mesri
10.3847/1538-3881/aa5eaa,3,mesri
10.3847/1538-3881/ac260c,8,mesri
10.1007/978-3-030-68107-4_2,2,mesri
10.1007/s10910-021-01277-9,8,mesri
10.1007/s00227-021-03917-9,0,mesri
10.1007/s42519-021-00210-2,6,mesri
10.1007/978-3-030-43469-4_9,0,mesri
10.1007/978-3-030-68107-4_11,2,mesri
10.1007/s00021-020-00547-x,8,mesri
10.1007/s10711-021-00645-8,6,mesri
10.1007/978-3-030-63618-0_12,6,mesri
10.1007/s00012-021-00745-2,6,mesri
10.1007/s00024-021-02827-7,3,mesri
10.1007/s10711-021-00634-x,6,mesri
10.1007/978-3-030-49836-8_2,6,mesri
10.1007/s10479-021-04051-x,2,mesri
10.1007/978-3-030-63464-3_30,9,mesri
10.1007/978-3-030-63061-4_12,2,mesri
10.1007/978-3-030-63591-6_62,9,mesri
10.1007/978-1-0716-1597-3_7,0,mesri
10.1007/s00425-021-03776-0,0,mesri
10.1007/s12220-018-00100-3,8,mesri
10.1007/s11214-021-00800-3,3,mesri
10.1007/s00214-021-02857-3,8,mesri
10.1007/978-3-030-69538-5_24,4,mesri
10.1007/s13235-016-0200-8,2,mesri
10.1007/978-3-030-65351-4_48,2,mesri
10.1007/s40879-020-00423-y,4,mesri
10.1007/978-3-030-67220-1_18,2,mesri
10.1007/s00227-021-03955-3,0,mesri
10.1007/s00041-018-09658-6,6,mesri
10.1007/s00041-021-09880-9,8,mesri
10.1007/978-3-030-78092-0_24,2,mesri
10.1007/978-3-030-65310-1_3,2,mesri
10.1007/978-3-030-85874-2_33,2,mesri
10.1007/978-3-030-88701-8_11,2,mesri
10.1007/978-3-030-65351-4_35,2,mesri
10.1007/978-3-030-78191-0_13,7,mesri
10.1007/978-3-030-78230-6_21,2,mesri
10.1007/s42064-021-0128-7,3,mesri
10.1007/978-3-030-81097-9_20,2,mesri
10.1007/s42235-021-0003-5,0,mesri
10.1007/978-981-16-1089-9_75,4,mesri
10.1007/s11695-021-05728-9,7,mesri
10.1007/978-3-030-67731-2_10,2,mesri
10.1007/978-3-030-87432-2_6,2,mesri
10.1007/s10340-020-01327-2,0,mesri
10.1007/978-3-030-85910-7_3,2,mesri
10.1007/978-3-030-51210-1_173,0,mesri
10.1007/s13341-017-0743-3,7,mesri
10.1007/s00066-021-01828-8,7,mesri
10.1007/s11914-021-00707-6,7,mesri
10.1007/978-3-030-64518-2_78,3,mesri
10.1007/978-3-030-74772-5_17,0,mesri
10.1007/s11123-017-0496-4,2,mesri
10.1007/978-3-030-51533-1_1,0,mesri
10.1007/978-3-030-72582-2_8,2,mesri
10.1007/978-3-030-68861-5_17,3,mesri
10.1007/978-3-030-85910-7_1,2,mesri
10.1007/978-3-030-88701-8_18,6,mesri
10.1007/s10646-021-02446-x,0,mesri
10.1007/s10114-018-7253-0,8,mesri
10.1007/s40261-021-01057-y,7,mesri
10.1007/978-3-030-11367-4_48,0,mesri
10.1007/s11060-021-03884-7,7,mesri
10.1007/s40072-021-00218-6,8,mesri
10.1007/978-3-030-74772-5_21,0,mesri
10.1007/978-3-030-78710-3_58,7,mesri
10.1007/978-3-030-63591-6_26,6,mesri
10.1007/978-3-030-59837-2_3,4,mesri
10.1007/978-3-030-63591-6_8,8,mesri
10.1007/978-3-030-69480-7_9,2,mesri
10.1007/s00601-016-1049-5,8,mesri
10.1007/s12553-016-0160-4,2,mesri
10.1007/s00300-021-02932-2,0,mesri
10.1007/s00526-017-1264-z,6,mesri
10.1007/s00229-019-01120-1,6,mesri
10.1007/s10531-021-02181-z,0,mesri
10.1007/s10479-021-04372-x,2,mesri
10.1007/978-981-10-7218-5_26,3,mesri
10.3166/rfg.2021.00592,9,mesri
10.3166/afmu-2021-0348,7,mesri
10.21037/ls-2020-mp-07,7,mesri
10.1039/d0nj01857k,1,mesri
10.1039/c7sm00388a,1,mesri
10.1039/d1md00345c,7,mesri
10.1039/d1nj01943k,1,mesri
10.1186/s41469-020-00071-2,5,mesri
10.1186/s12885-021-08638-2,7,mesri
10.1186/s12245-021-00387-0,7,mesri
10.1186/s40623-021-01463-8,3,mesri
